"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.7948,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.791,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.7865,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.777,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.7588,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.7717,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.8436,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.9326,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.0476,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.076,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0548,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.0581,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1097,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.1354,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.0866,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.0284,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.9852,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.9633,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.9528,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.9622,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.9138,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.7964,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.6495,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.5227,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.5423,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.64,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.7076,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.741,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.6675,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.5276,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.3372,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.3137,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.429,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.626,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.7953,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.8016,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.413,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.3831,
"G-7","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.8996,
